at,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
13/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004882745,0.031317886,0.037827624,0.028773739,0.058506491,0.154323947,0.25011362,0.253597745,0.31882689,0.422458083,0.456690472,0.530667311,0.502051319,0.415188737,0.291859626,0.183424289,0.066803492,0.012238644,0.003727131,0.001174595,7.01E-05,0,0,0,0,0,0,0,0,0,0,0
14/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51E-06,0.000458974,0.007281186,0.012762829,0.019412756,0.021216557,0.025999738,0.030254311,0.067684699,0.072244697,0.027466613,0.047770405,0.039223655,0.034455676,0.030216682,0.03178072,0.024050967,0.010879609,0.006335266,0.002556149,0.000123448,0,0,0,0,0,0,0,0,0,0,0
15/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35E-05,0.000794425,0.017675303,0.098231392,0.178051489,0.168455274,0.267777166,0.368614013,0.378575031,0.394590191,0.330932881,0.305186836,0.335413247,0.346287123,0.348588489,0.354169577,0.28359956,0.18953096,0.105157217,0.039509981,0.00705044,0.000143229,0,0,0,0,0,0,0,0,0,0,0
16/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29E-05,0.024023293,0.093037957,0.187052169,0.336514367,0.425762955,0.497962297,0.576160919,0.609508913,0.602071606,0.593192912,0.644216372,0.597178933,0.546965072,0.522185811,0.45262411,0.363666669,0.23732115,0.120618598,0.021909834,0.000402904,1.86E-05,0,0,0,0,0,0,0,0,0,0,0
17/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96E-06,0.000464567,0.004215124,0.014268601,0.027657053,0.042614837,0.059514528,0.065377265,0.078095953,0.108341408,0.101608737,0.09417689,0.064405221,0.058967171,0.046497753,0.026254062,0.015322757,0.008087031,0.006315223,0.00297009,2.64E-05,1.79E-06,0,0,0,0,0,0,0,0,0,0,0
18/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-05,0.005792846,0.032062571,0.052382613,0.108634892,0.15129992,0.180449627,0.278163441,0.355017928,0.349783158,0.405681154,0.398160949,0.372701477,0.349940575,0.305553816,0.266576725,0.251008143,0.208096056,0.133154666,0.043737716,0.006898779,8.84E-05,0,0,0,0,0,0,0,0,0,0,0
19/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48E-05,0.001427186,0.006428288,0.021756703,0.045429441,0.091842954,0.190160732,0.271677981,0.27610974,0.239925854,0.206187522,0.206980618,0.210331809,0.20322101,0.201891048,0.198840948,0.142822079,0.036993521,0.024718104,0.01124021,0.001120756,4.96E-05,0,0,0,0,0,0,0,0,0,0,0
20/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448183,0.003803957,0.019219156,0.066418068,0.17427112,0.296454442,0.428586894,0.492661785,0.460393501,0.419773002,0.418290935,0.319047118,0.123500991,0.156074592,0.206660931,0.309417169,0.194231252,0.086786062,0.008648018,0.002139544,2.79E-05,0,0,0,0,0,0,0,0,0,0,0
21/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002159998,0.050193217,0.105349507,0.223012585,0.362143689,0.423575564,0.477418291,0.525105677,0.585198107,0.570556339,0.518525681,0.421031085,0.368166405,0.398506746,0.248234461,0.280209688,0.287307655,0.191388508,0.101838912,0.013772388,0.000239809,3.11E-06,0,0,0,0,0,0,0,0,0,0,0
22/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229341,0.026096925,0.078684876,0.177305586,0.299007057,0.422844253,0.473499071,0.541244455,0.559626421,0.511794269,0.505864503,0.485518659,0.432585915,0.435645245,0.390833699,0.274451453,0.185085568,0.109563515,0.039490103,0.015781141,0.001497562,5.56E-05,0,0,0,0,0,0,0,0,0,0,0
23/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0.003419764,0.016275838,0.045182007,0.065873202,0.057196569,0.089552439,0.090515367,0.085041595,0.089948231,0.094057255,0.085772074,0.068627355,0.070788403,0.079242861,0.074017447,0.063759853,0.054349538,0.043321231,0.016755834,0.001932289,9.42E-06,0,0,0,0,0,0,0,0,0,0,0
24/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000464125,0.019950559,0.020920885,0.044985254,0.053418631,0.099564546,0.200328782,0.398781305,0.504103688,0.519517587,0.439283475,0.420991804,0.362651131,0.340055896,0.355775472,0.308862868,0.270216615,0.180507641,0.110655612,0.031192793,0.004942727,0.000192089,2.32E-06,0,0,0,0,0,0,0,0,0,0
