Group admin,School name,MAT,Diocese,Local Authority,School URL,MAT/LA group,MAT/LA group URL,Project group,Project URL
Stacie,Christ's College,Emmanuel Schools Foundation,,,,Emmanuel Schools Foundation,https://energysparks.uk/admin/school_groups/emmanuel-schools-foundation,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,New Silksworth Academy Junior,Extol Academy Trust,,,https://energysparks.uk/schools/new-silksworth-academy-junior,Extol Academy Trust,https://energysparks.uk/admin/school_groups/extol-academy-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,Venerable Bede CofE Academy,Northern Lights Learning Trust,,,https://energysparks.uk/schools/venerable-bede-church-of-england-academy,Northern Lights Learning Trust,https://energysparks.uk/admin/school_groups/northern-lights-learning-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Stacie,Thornaby Academy,Northern Education Trust,,,,Northern Education Trust,https://energysparks.uk/admin/school_groups/northern-education-trust,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Thea,Benton Dene Primary School,,,North Tyneside,Account not set up yet,North Tyneside,https://energysparks.uk/admin/school_groups/north-tyneside,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Thea,Bleakhouse Primary School,,,,https://energysparks.uk/schools/bleakhouse-primary-school,Sandwell,https://energysparks.uk/admin/school_groups/sandwell,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Carnforth School,The Black Pear Trust,,,https://energysparks.uk/schools/carnforth-school,The Black Pear Trust,https://energysparks.uk/admin/school_groups/black-pear-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Eaton Valley Primary School,,,,https://energysparks.uk/schools/eaton-valley-primary-school,Sandwell,https://energysparks.uk/admin/school_groups/sandwell,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Fairfield Primary School,,,Stockton,https://energysparks.uk/schools/fairfield-primary-school,Stockton,https://energysparks.uk/admin/school_groups/stockton-on-tees,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Thea,Firbeck Academy,Nova Education Trust,,,Account not set up yet,Nova Education Trust,https://energysparks.uk/admin/school_groups/nova-education-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Girlington Primary School,,,Bradford,Account not set up yet,Bradford,https://energysparks.uk/admin/school_groups/bradford,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Thea,Glebefields Primary School,,,,https://energysparks.uk/schools/glebefields-primary-school,Sandwell,https://energysparks.uk/admin/school_groups/sandwell,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Hanbury Primary School,n/a,,Sandwell,Account not set up yet,Sandwell,https://energysparks.uk/admin/school_groups/sandwell,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Hebburn Lakes Primary School,,,South Tyneside,https://energysparks.uk/schools/hebburn-lakes-primary-school,South Tyneside,https://energysparks.uk/admin/school_groups/south-tyneside,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Thea,Hollymount School,The Black Pear Trust,,,Account not set up yet,The Black Pear Trust,https://energysparks.uk/admin/school_groups/black-pear-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Holy Trinity Catholic Primary School,n/a,Archdiocese of Birmingham,Wolverhampton ,https://energysparks.uk/schools/holy-trinity-catholic-primary-school,Wolverhampton ,https://energysparks.uk/admin/school_groups/wolverhampton,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Jarrow Cross CofE Primary School,,,South Tyneside,https://energysparks.uk/schools/jarrow-cross-cofe-primary-school,South Tyneside,https://energysparks.uk/admin/school_groups/south-tyneside,Great British Energy Solar Project (AECOM led),https://energysparks.uk/school_groups/great-british-energy-solar-project-aecom-led-63defa69-051c-4169-8621-36db0d63d646
Thea,Lanesfield Primary School,,,,https://energysparks.uk/schools/lanesfield-primary-school,Wolverhampton ,https://energysparks.uk/admin/school_groups/wolverhampton,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Manor Drive Primary and Secondary Academy,Four CS,,,https://energysparks.uk/schools/manor-drive-primary-and-secondary-academy,Four CS ,https://energysparks.uk/admin/school_groups/four-cs-mat,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Thea,Melton Vale Sixth Form College,Nova Education Trust,,,https://energysparks.uk/schools/melton-vale-sixth-form-college,Nova Education Trust,https://energysparks.uk/admin/school_groups/nova-education-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
